"Word", "Tag", "Score"
ACTH,n,0
AD,r,0
ADA,n,0
ADA-SCID,n,0
ADD,n,0
ADH,n,0
ADHD,n,0
ADP,n,0
ADPS,n,0
ADP_system,n,0
AEC,n,0
AFISR,n,0
AFL,n,0
AFL-CIO,n,0
AFP,n,0
AFRL,n,0
AFSPC,n,0
AHPCRC,n,0
AI,n,0
AIAI,n,0
AIDS,n,-1.5856
AK,n,0
AL,n,0
ALGOL,n,0
ALIR,n,0
ALS,n,0
ALT,n,0
AM,n,0
AMD,n,0
AMEX,n,0
AMP,n,0
AMusD,n,0
AN,n,0
AND_circuit,n,0
AND_gate,n,0
ANG,n,0
ANO,n,0
ANOVA,n,0
ANS,n,0
APC,n,0
AR,n,0
ARDA,n,0
ARDS,n,0
ARNG,n,0
AS,n,0
ASALA,n,0
ASAP,r,0
ASAT,a,0
ASCII,n,0
ASCII_character,n,0
ASCII_character_set,n,0
ASCII_control_character,n,0
ASCII_text_file,n,0
ASEAN,n,0
ASL,n,0
ATF,n,0
ATM,n,0
ATP,n,0
AU,n,-0.31712
AUC,n,0
AWOL,n,0
AZ,n,0
AZT,n,0
A_battery,n,0
A_horizon,n,0
A_level,n,0
Aachen,n,0
Aaland_islands,n,0
Aalborg,n,0
Aalst,n,0
Aalto,n,0
Aar,n,0
Aare,n,0
Aare_River,n,0
Aarhus,n,0
Aaron,n,0
Aaron's_rod,n,0
Aaron_Burr,n,0
Aaron_Copland,n,0
Aaron_Montgomery_Ward,n,0
Ab,n,0
Abadan,n,0
Abbe_condenser,n,0
Abbott_Lawrence_Lowell,n,0
Abdias,n,0
Abecedarian,n,0
Abel,n,0
Abel_Janszoon_Tasman,n,0
Abel_Tasman,n,0
Abelard,n,0
Abelian_group,n,0
Abelmoschus,n,0
Abelmoschus_esculentus,n,0
Abelmoschus_moschatus,n,0
Abenaki,n,0
Aberdare,n,0
Aberdeen,n,0
Aberdeen_Angus,n,0
Aberdonian,a,0
Abidjan,n,0
Abies,n,0
Abies_alba,n,0
Abies_amabilis,n,0
Abies_balsamea,n,0
Abies_bracteata,n,0
Abies_concolor,n,0
Abies_fraseri,n,0
Abies_grandis,n,0
Abies_lasiocarpa,n,0
Abies_lowiana,n,0
Abies_venusta,n,0
Abila,n,0
Abilene,n,0
Abkhas,n,0
Abkhasian,n,0
Abkhaz,a,0
Abkhaz,n,0
Abkhazia,n,0
Abkhazian,a,0
Abkhazian,n,0
Abnaki,a,0
Abnaki,n,0
Abney_level,n,0
Abo,n,0
Abor,n,0
Aboriginal,a,0
Aboriginal,n,0
Aboriginal_Australian,n,0
Aborigine,n,0
Abraham,n,0
Abraham's_bosom,n,0
Abraham_Lincoln,n,0
Abraham_Stoker,n,0
Abramis,n,0
Abramis_brama,n,0
Abrocoma,n,0
Abronia,n,0
Abronia_elliptica,n,0
Abronia_fragrans,n,0
Abronia_latifolia,n,0
Abronia_maritima,n,0
Abronia_umbellata,n,0
Abronia_villosa,n,0
Abruzzi,n,0
Abruzzi_e_Molise,n,0
Abstract_Expressionism,n,0
Abu_Ali_al-Husain_ibn_Abdallah_ibn_Sina,n,0
Abu_Dhabi,n,0
Abu_Hafs_al-Masri_Brigades,n,0
Abu_Nidal_Organization,n,0
Abu_Sayyaf,n,0
Abudefduf,n,0
Abudefduf_saxatilis,n,0
Abuja,n,0
Abukir,n,0
Abukir_Bay,n,0
Abul-Walid_Mohammed_ibn-Ahmad_Ibn-Mohammed_ibn-Roshd,n,0
Abutilon,n,0
Abutilon_theophrasti,n,0
Aby_Moritz_Warburg,n,0
Aby_Warburg,n,0
Abydos,n,0
Abyla,n,0
Abyssinia,n,0
Abyssinian,n,0
Abyssinian_banana,n,0
Abyssinian_cat,n,0
Ac,n,0
Acacia_auriculiformis,n,0
Acacia_cambegei,n,0
Acacia_catechu,n,0
Acacia_dealbata,n,0
Acacia_farnesiana,n,0
Acacia_melanoxylon,n,0
Acacia_pycnantha,n,0
Acacia_xanthophloea,n,0
Academy_Award,n,0
Academy_of_Motion_Picture_Arts_and_Sciences,n,0
Academy_of_Television_Arts_and_Sciences,n,0
Acadia,n,0
Acadia_National_Park,n,0
Acadian,n,0
Acalypha,n,0
Acalypha_virginica,n,0
Acanthaceae,n,0
Acanthisitta,n,0
Acanthisitta_chloris,n,0
Acanthisittidae,n,0
Acanthocephala,n,0
Acanthocereus,n,0
Acanthocereus_pentagonus,n,0
Acanthocereus_tetragonus,n,0
Acanthocybium,n,0
Acanthocybium_solandri,n,0
Acanthophis,n,0
Acanthophis_antarcticus,n,0
Acanthopterygii,n,0
Acanthoscelides,n,0
Acanthoscelides_obtectus,n,0
Acanthuridae,n,0
Acanthurus,n,0
Acanthurus_chirurgus,n,0
Acanthus_mollis,n,0
Acapulco,n,0
Acapulco_de_Juarez,n,0
Acapulco_gold,n,0
Acaridae,n,0
Acarina,n,0
Accho,n,0
Accipiter,n,0
Accipiter_cooperii,n,0
Accipiter_gentilis,n,0
Accipiter_nisus,n,0
Accipitridae,n,0
Accipitriformes,n,0
Accra,n,0
Acer,n,0
Acer_argutum,n,0
Acer_campestre,n,0
Acer_circinatum,n,0
Acer_glabrum,n,0
Acer_japonicum,n,0
Acer_macrophyllum,n,0
Acer_negundo,n,0
Acer_negundo_Californicum,n,0
Acer_palmatum,n,0
Acer_pennsylvanicum,n,0
Acer_platanoides,n,0
Acer_pseudoplatanus,n,0
Acer_rubrum,n,0
Acer_saccharinum,n,0
Acer_saccharum,n,0
Acer_spicatum,n,0
Aceraceae,n,0
Achaea,n,0
Achaean,a,0
Achaean,n,0
Achaian,n,0
Acheron,n,0
Acheronian,a,0
Acherontia,n,0
Acherontia_atropos,n,0
Acherontic,a,0
Acheson,n,0
Acheson_process,n,0
Acheta,n,0
Acheta_assimilis,n,0
Acheta_domestica,n,0
Achille_Ratti,n,0
Achillea_millefolium,n,0
Achillea_ptarmica,n,0
Achilles,n,0
Achilles'_heel,n,0
Achilles_tendon,n,0
Achmad_Sukarno,n,0
Achoerodus,n,0
Achoerodus_gouldii,n,0
Achomawi,n,0
Achras,n,0
Achras_zapota,n,0
Achromycin,n,0
Acinonyx,n,0
Acinonyx_jubatus,n,0
Acinos,n,0
Acinos_arvensis,n,0
Acipenser,n,0
Acipenser_huso,n,0
Acipenser_transmontanus,n,0
Acipenseridae,n,0
Acnidosporidia,n,0
Acocanthera,n,0
Acocanthera_oblongifolia,n,0
Acocanthera_oppositifolia,n,0
Acocanthera_spectabilis,n,0
Acocanthera_venenata,n,0
Acokanthera,n,0
Aconcagua,n,0
Aconitum,n,0
Aconitum_lycoctonum,n,0
Aconitum_napellus,n,0
Acoraceae,n,0
Acores,n,0
Acorus,n,0
Acorus_calamus,n,0
Acragas,n,0
Acrasiomycetes,n,0
Acre,n,0
Acrididae,n,0
Acridotheres,n,0
Acridotheres_tristis,n,0
Acrilan,n,0
Acris,n,0
Acris_crepitans,n,0
Acris_gryllus,n,0
Acrobates,n,0
Acrocarpus,n,0
Acrocarpus_fraxinifolius,n,0
Acrocephalus,n,0
Acrocephalus_schoenobaenus,n,0
Acroclinium,n,0
Acroclinium_roseum,n,0
Acrocomia,n,0
Acrocomia_aculeata,n,0
Acrocomia_vinifera,n,0
Acropora,n,0
Acrostichum,n,0
Acrostichum_aureum,n,0
Actaea,n,0
Actaea_alba,n,0
Actaea_rubra,n,0
Actias,n,0
Actias_luna,n,0
Actifed,n,0
Actinaria,n,0
Actinia,n,0
Actiniaria,n,0
Actinidia,n,0
Actinidia_arguta,n,0
Actinidia_chinensis,n,0
Actinidia_deliciosa,n,0
Actinidia_polygama,n,0
Actinidiaceae,n,0
Actiniopteris,n,0
Actinomeris,n,0
Actinomeris_alternifolia,n,0
Actinomycetaceae,n,0
Actinomycetales,n,0
Actinomyxidia,n,0
Actinopoda,n,0
Actinozoa,n,0
Actitis,n,0
Actitis_hypoleucos,n,0
Actitis_macularia,n,0
Actium,n,0
Activase,n,0
Acts,n,0
Acts_of_the_Apostles,n,0
Acular,n,0
Adad,n,0
Adalia,n,0
Adalia_bipunctata,n,0
Adam,n,-0.31712
Adam's_Peak,n,0
Adam's_apple,n,0
Adam's_needle,n,0
Adam's_needle-and-thread,n,0
Adam_Smith,n,0
Adams,n,-0.06208
Adams-Stokes_syndrome,n,0
Adana,n,0
Adansonia,n,0
Adansonia_digitata,n,0
Adansonia_gregorii,n,0
Adapa,n,0
Adapid,n,0
Adapid_group,n,0
Adapin,n,0
Adar,n,0
Adar_Sheni,n,0
Addax_nasomaculatus,n,0
Addis_Ababa,n,0
Addison's_disease,n,0
Addison's_syndrome,n,0
Additions_to_Esther,n,0
Addressograph,n,0
Adelaide,n,0
Adelges,n,0
Adelges_abietis,n,0
Adelges_piceae,n,0
Adelgidae,n,0
Adelie,n,0
Adelie_Coast,n,0
Adelie_Land,n,0
Adelie_penguin,n,0
Adeline_Virginia_Stephen_Woolf,n,0
Aden,n,0
Aden-Abyan_Islamic_Army,n,0
Adenanthera,n,0
Adenanthera_pavonina,n,0
Adenauer,n,0
Adenium,n,0
Adenium_multiflorum,n,0
Adenium_obesum,n,0
Adenota,n,0
Adenota_vardoni,n,0
Adi_Granth,n,0
Adiantaceae,n,0
Adiantum,n,0
Adiantum_bellum,n,0
Adiantum_capillus-veneris,n,0
Adiantum_pedatum,n,0
Adiantum_tenerum,n,0
Adiantum_tenerum_farleyense,n,0
Adige,n,0
Adirondack_Mountains,n,0
Adirondacks,n,0
Aditi,n,0
Aditya,n,0
Adlai_Ewing_Stevenson,n,0
Adlai_Stevenson,n,0
Adlumia,n,0
Adlumia_fungosa,n,0
Admiral_Byrd,n,0
Admiral_Dewey,n,0
Admiral_Nelson,n,0
Admiral_Nimitz,n,0
Admiralty_Island,n,0
Admiralty_Islands,n,0
Admiralty_Metal,n,0
Admiralty_Range,n,0
Admiralty_brass,n,0
Admiralty_mile,n,0
Admission_Day,n,0
Adolf_Eichmann,n,0
Adolf_Hitler,n,0
Adolf_Loos,n,0
Adolf_Windaus,n,0
Adolph_Simon_Ochs,n,0
Adolphe_Sax,n,0
Adonic,a,0
Adonic,n,0
Adonic_line,n,0
Adonis,n,0
Adonis_annua,n,0
Adrenalin,n,0
Adrian,n,0
Adrianople,n,0
Adrianopolis,n,0
Adriatic,n,0
Adriatic_Sea,n,0
Advanced_Research_and_Development_Activity,n,0
Advent,n,-0.31712
Advent_Sunday,n,0
Adventism,n,0
Adventist,n,0
Advil,n,0
Adzhar,n,0
Adzharia,n,0
Aedes,n,0
Aedes_aegypti,n,0
Aedes_albopictus,n,0
Aegadean_Islands,n,0
Aegadean_Isles,n,0
Aegates,n,0
Aegates_Isles,n,0
Aegean,a,0
Aegean,n,0
Aegean_Sea,n,0
Aegean_civilisation,n,0
Aegean_civilization,n,0
Aegean_culture,n,0
Aegean_island,n,0
Aegiceras,n,0
Aegiceras_majus,n,0
Aegilops,n,0
Aegilops_triuncalis,n,0
Aegina,n,0
Aegisthus,n,0
Aegospotami,n,0
Aegospotamos,n,0
Aegypiidae,n,0
Aegypius,n,0
Aegypius_monachus,n,0
Aegyptopithecus,n,0
Aelius_Donatus,n,0
Aeneas,n,0
Aeneas_Silvius,n,0
Aeneid,n,0
Aengus,n,0
Aeolia,n,0
Aeolian,a,0
Aeolian,n,0
Aeolic,n,0
Aeolic_dialect,n,0
Aeolis,n,0
Aeolus,n,0
Aeonium,n,0
Aeonium_haworthii,n,0
Aepyceros,n,0
Aepyceros_melampus,n,0
Aepyornidae,n,0
Aepyorniformes,n,0
Aerobacter,n,0
Aerobacter_aerogenes,n,0
Aertex,n,0
Aeschylean,a,0
Aeschylus,n,0
Aeschynanthus_radicans,n,0
Aesculapius,n,0
Aesculus,n,0
Aesculus_hippocastanum,n,0
Aesir,n,0
Aesop,n,0
Aesop's_fables,n,0
Aether,n,0
Aethionema,n,0
Aethusa,n,0
Aethusa_cynapium,n,0
Aetobatus,n,0
Aetobatus_narinari,n,0
Afars_and_Issas,n,0
Affirmed,n,0
Afghan,a,0
Afghan,n,0
Afghan_hound,n,0
Afghan_monetary_unit,n,0
Afghani,a,0
Afghani,n,0
Afghanistan,n,0
Afghanistani,a,0
Afghanistani,n,0
Aflaxen,n,0
Aframomum,n,0
Aframomum_melegueta,n,0
Afrasian,n,0
Afrasian_language,n,0
Africa,n,0
African,a,0
African,n,0
African-American,a,0
African-American,n,0
African-American_music,n,0
African_American,n,0
African_American_English,n,0
African_American_Vernacular_English,n,0
African_bowstring_hemp,n,0
African_chameleon,n,0
African_clawed_frog,n,0
African_coral_snake,n,0
African_country,n,0
African_crocodile,n,0
African_daisy,n,0
African_elephant,n,0
African_gray,n,0
African_green_monkey,n,0
African_grey,n,0
African_hemp,n,0
African_holly,n,0
African_hunting_dog,n,0
African_lily,n,0
African_love_grass,n,0
African_mahogany,n,0
African_marigold,n,0
African_millet,n,0
African_monitor,n,0
African_nation,n,0
African_oil_palm,n,0
African_sandalwood,n,0
African_scented_mahogany,n,0
African_tea,n,0
African_tulip,n,0
African_violet,n,0
African_walnut,n,0
African_wild_ass,n,0
African_yellowwood,n,0
Africander,n,0
Africanized_bee,n,0
Africanized_honey_bee,n,0
Afrikaans,a,0
Afrikaans,n,0
Afrikander,n,0
Afrikaner,a,0
Afrikaner,n,0
Afro,n,0
Afro-American,a,0
Afro-American,n,0
Afro-Asian,a,0
Afro-Asiatic,n,0
Afro-wig,n,0
Afro_hairdo,n,0
Afroasiatic,n,0
Afroasiatic_language,n,0
Afrocarpus,n,0
Afrocarpus_falcata,n,0
Afropavo_congensis,n,0
Ag,n,0
Aga,n,0
Agalinis,n,0
Agamemnon,n,0
Agamidae,n,0
Agapanthus_africanus,n,0
Agapornis,n,0
Agaricaceae,n,0
Agaricales,n,0
Agaricus,n,0
Agaricus_arvensis,n,0
Agaricus_campestris,n,0
Agassiz,n,0
Agastache,n,0
Agastache_foeniculum,n,0
Agastache_mexicana,n,0
Agastache_nepetoides,n,0
Agatha_Christie,n,0
Agathis,n,0
Agathis_alba,n,0
Agathis_australis,n,0
Agathis_dammara,n,0
Agathis_lanceolata,n,0
Agathis_robusta,n,0
Agavaceae,n,0
Agave_americana,n,0
Agave_atrovirens,n,0
Agave_cantala,n,0
Agave_sisalana,n,0
Agave_tequilana,n,0
Agdestis,n,0
Agdistis,n,0
Age_of_Fishes,n,0
Age_of_Mammals,n,0
Age_of_Man,n,0
Age_of_Reason,n,0
Age_of_Reptiles,n,0
Agee,n,0
Agelaius,n,0
Agelaius_phoeniceus,n,0
Agene,n,0
Agenise,v,0
Agenize,v,0
Agent_Orange,n,0
Ageratina,n,0
Ageratina_altissima,n,0
Ageratum_houstonianum,n,0
Aggeus,n,0
Agha,n,0
Aghan,n,0
Agincourt,n,0
Agkistrodon,n,0
Agkistrodon_contortrix,n,0
Agkistrodon_piscivorus,n,0
Aglaia,n,0
Aglaomorpha,n,0
Aglaomorpha_meyeniana,n,0
Aglaonema,n,0
Aglaonema_modestum,n,0
Agnatha,n,0
Agnes_George_de_Mille,n,0
Agnes_Gonxha_Bojaxhiu,n,0
Agnes_de_Mille,n,0
Agni,n,0
Agnus_Dei,n,0
Agonidae,n,0
Agonus,n,0
Agonus_cataphractus,n,0
Agra,n,0
Agricola,n,0
Agriculture,n,0
Agriculture_Department,n,0
Agriculture_Secretary,n,0
Agrigento,n,0
Agrimonia_eupatoria,n,0
Agrimonia_procera,n,0
Agriocharis,n,0
Agriocharis_ocellata,n,0
Agrippa,n,0
Agrippina,n,0
Agrippina_the_Elder,n,0
Agrippina_the_Younger,n,0
Agrobacterium,n,0
Agrobacterium_tumefaciens,n,0
Agropyron,n,0
Agropyron_cristatum,n,0
Agropyron_intermedium,n,0
Agropyron_pauciflorum,n,0
Agropyron_repens,n,0
Agropyron_smithii,n,0
Agropyron_subsecundum,n,0
Agropyron_trachycaulum,n,0
Agrostemma,n,0
Agrostemma_githago,n,0
Agrostis,n,0
Agrostis_alba,n,0
Agrostis_canina,n,0
Agrostis_nebulosa,n,0
Agrostis_palustris,n,0
Ahab,n,0
Ahmad_Shah_Masoud,n,0
Ahmed_Salman_Rushdie,n,0
Ahmed_Zoki_Yamani,n,0
Ahriman,n,0
Ahuehuete,n,0
Ahura,n,0
Ahura_Mazda,n,0
Ahvenanmaa,n,0
Aides,n,0
Aidoneus,n,0
Aigina,n,0
Aiken,n,0
Ailanthus_altissima,n,0
Ailey,n,0
Ailuropoda,n,0
Ailuropoda_melanoleuca,n,0
Ailuropodidae,n,0
Ailurus,n,0
Ailurus_fulgens,n,0
Aimee_Semple_McPherson,n,0
Air_Combat_Command,n,0
Air_Corps,n,0
Air_Force,n,0
Air_Force_ISR,n,0
Air_Force_Intelligence_Surveillance_and_Reconnaissance,n,0
Air_Force_Research_Laboratory,n,0
Air_Force_Space_Command,n,0
Air_Medal,n,0
Air_National_Guard,n,0
Aire,n,0
Aire_River,n,0
Airedale,n,0
Airedale_terrier,n,0
Aix,n,0
Aix-la-Chapelle,n,0
Aix_galericulata,n,0
Aix_sponsa,n,0
Aizoaceae,n,0
Ajaia,n,0
Ajaia_ajaja,n,0
Ajax,n,0
Ajuga,n,0
Ajuga_chamaepitys,n,0
Ajuga_genevensis,n,0
Ajuga_pyramidalis,n,0
Ajuga_reptans,n,0
Akaba,n,0
Akan,n,0
Aken,n,0
Akeridae,n,0
Akha,n,0
Akhbari,n,0
Akhenaten,n,0
Akhenaton,n,0
Akira_Kurosawa,n,0
Akka,n,0
Akkadian,n,0
Akko,n,0
Akmola,n,0
Akron,n,0
Aksa_Martyrs_Brigades,n,0
Aku,n,0
Akwa'ala,n,0
Al,n,0
Al-Hasan_ibn_al-Haytham,n,0
Al-Hudaydah,n,0
Al-Iraq,n,0
Al-Jama'a_al-Islamiyyah_al-Muqatilah_bi-Libya,n,0
Al-Magrib,n,0
Al-Mukalla,n,0
Al-hakim,n,0
Al_Alamayn,n,0
Al_Aqabah,n,0
Al_Capone,n,0
Al_Faran,n,0
Al_Gore,n,0
Al_Hirschfeld,n,0
Al_Jolson,n,0
Al_Ladhiqiyah,n,0
Al_Madinah,n,0
Al_Nathir,n,0
Al_Qahira,n,0
Al_Qanoon,n,0
Al_Tawhid,n,0
Alabama,n,0
Alabama_River,n,0
Alabama_lip_fern,n,0
Alabaman,n,0
Alabamian,n,0
Aladdin,n,0
Aladdin's_lamp,n,0
Alamo,n,0
Alan_Alexander_Milne,n,0
Alan_Bartlett_Shepard_Jr.,n,0
Alan_Hodgkin,n,0
Alan_Jay_Lerner,n,0
Alan_Lloyd_Hodgkin,n,0
Alan_Mathison_Turing,n,0
Alan_Paton,n,0
Alan_Seeger,n,0
Alan_Shepard,n,0
Alan_Stewart_Paton,n,0
Alan_Turing,n,0
Aland_islands,n,0
Alar,n,0
Alaric,n,0
Alaska,n,0
Alaska_Native,n,0
Alaska_Peninsula,n,0
Alaska_Range,n,0
Alaska_Standard_Time,n,0
Alaska_cedar,n,0
Alaska_cod,n,0
Alaska_crab,n,0
Alaska_fur_seal,n,0
Alaska_king_crab,n,0
Alaska_rein_orchid,n,0
Alaskan,a,0
Alaskan,n,0
Alaskan_Native,n,0
Alaskan_brown_bear,n,0
Alaskan_king_crab,n,0
Alaskan_malamute,n,0
Alaskan_pipeline,n,0
Alauda,n,0
Alauda_arvensis,n,0
Alaudidae,n,0
Alban_Berg,n,0
Albania,n,0
Albanian,a,0
Albanian,n,0
Albanian_capital,n,0
Albanian_monetary_unit,n,0
Albany,n,0
Albatrellus,n,0
Albatrellus_dispansus,n,0
Albatrellus_ovinus,n,0
Albee,n,0
Alben_Barkley,n,0
Alben_William_Barkley,n,0
Albers,n,0
Albers-Schonberg_disease,n,0
Albert,n,0
Albert_Abraham_Michelson,n,0
Albert_Bruce_Sabin,n,0
Albert_Camus,n,0
Albert_Edward,n,0
Albert_Einstein,n,0
Albert_Francis_Charles_Augustus_Emmanuel,n,0
Albert_Gore_Jr.,n,0
Albert_Michelson,n,0
Albert_Sabin,n,0
Albert_Schweitzer,n,0
Albert_Speer,n,0
Albert_Szent-Gyorgyi,n,0
Albert_von_Szent-Gyorgyi,n,0
Alberta,n,0
Alberti,n,0
Alberto_Giacometti,n,0
Albigenses,n,0
Albigensian,a,0
Albigensianism,n,0
Albino_Luciano,n,0
Albion,n,0
Albizia_julibrissin,n,0
Albizia_lebbeck,n,0
Albizia_saman,n,0
Albizzia_julibrissin,n,0
Albizzia_lebbeck,n,0
Alborg,n,0
Albrecht_Durer,n,0
Albrecht_Eusebius_Wenzel_von_Wallenstein,n,0
Albright's_disease,n,0
Albuginaceae,n,0
Albugo,n,0
Albula,n,0
Albula_vulpes,n,0
Albulidae,n,0
Albuquerque,n,0
Alca,n,0
Alca_torda,n,0
Alcaeus,n,0
Alcaic,n,0
Alcaic_verse,n,0
Alcea,n,0
Alcea_rosea,n,0
Alcedinidae,n,0
Alcedo,n,0
Alcedo_atthis,n,0
Alcelaphus,n,0
Alces,n,0
Alces_alces,n,0
Alcibiades,n,0
Alcidae,n,0
Alcides,n,0
Alcoholics_Anonymous,n,0
Alcott,n,0
Alcyonacea,n,0
